file_path,file_name,language,duration_sec,sample_rate,source
data\processed\tamil\taf_03822_00147469250.wav,taf_03822_00147469250.wav,tamil,4.384,16000,openslr
data\processed\malayalam\mlf_08428_00655431183.wav,mlf_08428_00655431183.wav,malayalam,4.064,16000,openslr
data\processed\tamil\taf_03822_00858403829.wav,taf_03822_00858403829.wav,tamil,3.136,16000,openslr
data\processed\kannada\knf_00254_01459979976.wav,knf_00254_01459979976.wav,kannada,8.576,16000,openslr
data\processed\malayalam\mlf_06469_00534668752.wav,mlf_06469_00534668752.wav,malayalam,5.664,16000,openslr
data\processed\tamil\taf_02027_01671077708.wav,taf_02027_01671077708.wav,tamil,5.312,16000,openslr
data\processed\kannada\knf_08476_00636330830.wav,knf_08476_00636330830.wav,kannada,4.352,16000,openslr
data\processed\malayalam\mlf_02018_00673164487.wav,mlf_02018_00673164487.wav,malayalam,6.048,16000,openslr
data\processed\english\f0004_us_f0004_00102.wav,f0004_us_f0004_00102.wav,english,3.52,16000,openslr
data\processed\hindi\0267_003.wav,0267_003.wav,hindi,5.44,16000,openslr
data\processed\kannada\knf_07901_01088555540.wav,knf_07901_01088555540.wav,kannada,4.896,16000,openslr
data\processed\tamil\taf_05572_00781987706.wav,taf_05572_00781987706.wav,tamil,4.96,16000,openslr
data\processed\english\f0001_us_f0001_00295.wav,f0001_us_f0001_00295.wav,english,3.392,16000,openslr
data\processed\malayalam\mlf_03228_01086772436.wav,mlf_03228_01086772436.wav,malayalam,3.392,16000,openslr
data\processed\malayalam\mlf_01130_01345972836.wav,mlf_01130_01345972836.wav,malayalam,3.136,16000,openslr
data\processed\malayalam\mlf_05401_01760423680.wav,mlf_05401_01760423680.wav,malayalam,4.864,16000,openslr
data\processed\english\f0004_us_f0004_00129.wav,f0004_us_f0004_00129.wav,english,3.744,16000,openslr
data\processed\tamil\taf_00008_01536890932.wav,taf_00008_01536890932.wav,tamil,4.384,16000,openslr
data\processed\hindi\0156_088.wav,0156_088.wav,hindi,4.448,16000,openslr
data\processed\english\m0002_us_m0002_00208.wav,m0002_us_m0002_00208.wav,english,3.104,16000,openslr
data\processed\kannada\knf_09696_01506689924.wav,knf_09696_01506689924.wav,kannada,5.696,16000,openslr
data\processed\malayalam\mlf_03132_00136736293.wav,mlf_03132_00136736293.wav,malayalam,5.312,16000,openslr
data\processed\hindi\0173_088.wav,0173_088.wav,hindi,4.396,16000,openslr
data\processed\kannada\knf_07901_01243243036.wav,knf_07901_01243243036.wav,kannada,3.68,16000,openslr
data\processed\kannada\knf_05820_00380697528.wav,knf_05820_00380697528.wav,kannada,5.728,16000,openslr
data\processed\english\f0004_us_f0004_00422.wav,f0004_us_f0004_00422.wav,english,4.256,16000,openslr
data\processed\tamil\taf_05572_00698795338.wav,taf_05572_00698795338.wav,tamil,4.224,16000,openslr
data\processed\english\m0001_us_m0001_00113.wav,m0001_us_m0001_00113.wav,english,6.688,16000,openslr
data\processed\hindi\0211_069.wav,0211_069.wav,hindi,4.992,16000,openslr
data\processed\malayalam\mlf_04674_00988608988.wav,mlf_04674_00988608988.wav,malayalam,4.16,16000,openslr
data\processed\hindi\0308_003.wav,0308_003.wav,hindi,5.664,16000,openslr
data\processed\english\f0002_us_f0002_00102.wav,f0002_us_f0002_00102.wav,english,3.008,16000,openslr
data\processed\hindi\0215_061.wav,0215_061.wav,hindi,3.528,16000,openslr
data\processed\tamil\taf_03822_00878350835.wav,taf_03822_00878350835.wav,tamil,6.848,16000,openslr
data\processed\malayalam\mlf_05023_01091453902.wav,mlf_05023_01091453902.wav,malayalam,4.192,16000,openslr
data\processed\kannada\knf_05550_00473837228.wav,knf_05550_00473837228.wav,kannada,6.368,16000,openslr
data\processed\malayalam\mlf_06262_01858270525.wav,mlf_06262_01858270525.wav,malayalam,3.584,16000,openslr
data\processed\hindi\0298_025.wav,0298_025.wav,hindi,6.656,16000,openslr
data\processed\kannada\knf_03755_00762375529.wav,knf_03755_00762375529.wav,kannada,5.792,16000,openslr
data\processed\malayalam\mlf_05401_00980268599.wav,mlf_05401_00980268599.wav,malayalam,5.536,16000,openslr
data\processed\tamil\taf_03219_00794901442.wav,taf_03219_00794901442.wav,tamil,4.416,16000,openslr
data\processed\hindi\0215_088.wav,0215_088.wav,hindi,5.088,16000,openslr
data\processed\english\m0003_us_m0003_00291.wav,m0003_us_m0003_00291.wav,english,3.584,16000,openslr
data\processed\malayalam\mlf_03182_01169177183.wav,mlf_03182_01169177183.wav,malayalam,3.904,16000,openslr
data\processed\english\m0005_us_m0005_00118.wav,m0005_us_m0005_00118.wav,english,4.064,16000,openslr
data\processed\kannada\knf_07901_00002287392.wav,knf_07901_00002287392.wav,kannada,4.0,16000,openslr
data\processed\tamil\taf_07910_00139291851.wav,taf_07910_00139291851.wav,tamil,3.392,16000,openslr
data\processed\hindi\0267_088.wav,0267_088.wav,hindi,5.176,16000,openslr
data\processed\english\f0005_us_f0005_00333.wav,f0005_us_f0005_00333.wav,english,3.04,16000,openslr
data\processed\hindi\0153_008.wav,0153_008.wav,hindi,3.84,16000,openslr
data\processed\english\m0003_us_m0003_00232.wav,m0003_us_m0003_00232.wav,english,4.768,16000,openslr
data\processed\hindi\0139_003.wav,0139_003.wav,hindi,6.24,16000,openslr
data\processed\malayalam\mlf_09852_00310605336.wav,mlf_09852_00310605336.wav,malayalam,7.392,16000,openslr
data\processed\malayalam\mlf_04674_02113131579.wav,mlf_04674_02113131579.wav,malayalam,3.936,16000,openslr
data\processed\tamil\taf_07894_01447155527.wav,taf_07894_01447155527.wav,tamil,5.152,16000,openslr
data\processed\tamil\taf_02042_01063114796.wav,taf_02042_01063114796.wav,tamil,4.416,16000,openslr
data\processed\tamil\taf_07064_01676875335.wav,taf_07064_01676875335.wav,tamil,6.016,16000,openslr
data\processed\tamil\taf_03822_00352019393.wav,taf_03822_00352019393.wav,tamil,4.64,16000,openslr
data\processed\tamil\taf_06958_02032065854.wav,taf_06958_02032065854.wav,tamil,5.824,16000,openslr
data\processed\hindi\0163_008.wav,0163_008.wav,hindi,6.08,16000,openslr
data\processed\malayalam\mlf_09852_01873336031.wav,mlf_09852_01873336031.wav,malayalam,6.848,16000,openslr
data\processed\tamil\taf_03219_01819200573.wav,taf_03219_01819200573.wav,tamil,5.12,16000,openslr
data\processed\english\f0002_us_f0002_00074.wav,f0002_us_f0002_00074.wav,english,3.04,16000,openslr
data\processed\kannada\knf_03467_00886655989.wav,knf_03467_00886655989.wav,kannada,3.84,16000,openslr
data\processed\hindi\0156_069.wav,0156_069.wav,hindi,3.68,16000,openslr
data\processed\hindi\0244_086.wav,0244_086.wav,hindi,5.792,16000,openslr
data\processed\malayalam\mlf_03435_00166264022.wav,mlf_03435_00166264022.wav,malayalam,4.384,16000,openslr
data\processed\tamil\taf_02042_00383777340.wav,taf_02042_00383777340.wav,tamil,3.264,16000,openslr
data\processed\malayalam\mlf_03182_01898975033.wav,mlf_03182_01898975033.wav,malayalam,3.936,16000,openslr
data\processed\english\f0003_us_f0003_00048.wav,f0003_us_f0003_00048.wav,english,4.32,16000,openslr
data\processed\malayalam\mlf_02484_00509058582.wav,mlf_02484_00509058582.wav,malayalam,6.496,16000,openslr
data\processed\kannada\knf_01779_01539338350.wav,knf_01779_01539338350.wav,kannada,5.184,16000,openslr
data\processed\malayalam\mlf_09852_01507991449.wav,mlf_09852_01507991449.wav,malayalam,5.888,16000,openslr
data\processed\tamil\taf_02027_01345053230.wav,taf_02027_01345053230.wav,tamil,3.68,16000,openslr
data\processed\english\m0001_us_m0001_00004.wav,m0001_us_m0001_00004.wav,english,4.736,16000,openslr
data\processed\kannada\knf_01796_00517930921.wav,knf_01796_00517930921.wav,kannada,5.504,16000,openslr
data\processed\malayalam\mlf_06469_01196158664.wav,mlf_06469_01196158664.wav,malayalam,6.528,16000,openslr
data\processed\malayalam\mlf_08428_01806688837.wav,mlf_08428_01806688837.wav,malayalam,4.928,16000,openslr
data\processed\english\f0004_us_f0004_00285.wav,f0004_us_f0004_00285.wav,english,3.488,16000,openslr
data\processed\kannada\knf_03755_01651428650.wav,knf_03755_01651428650.wav,kannada,8.64,16000,openslr
data\processed\hindi\0267_089.wav,0267_089.wav,hindi,5.784,16000,openslr
data\processed\hindi\0260_036.wav,0260_036.wav,hindi,5.152,16000,openslr
data\processed\english\m0005_us_m0005_00021.wav,m0005_us_m0005_00021.wav,english,3.152,16000,openslr
data\processed\hindi\0227_066.wav,0227_066.wav,hindi,4.224,16000,openslr
data\processed\hindi\0128_087.wav,0128_087.wav,hindi,3.812,16000,openslr
data\processed\tamil\taf_02042_00660268797.wav,taf_02042_00660268797.wav,tamil,4.704,16000,openslr
data\processed\hindi\0156_025.wav,0156_025.wav,hindi,3.552,16000,openslr
data\processed\kannada\knf_03271_02018138424.wav,knf_03271_02018138424.wav,kannada,6.656,16000,openslr
data\processed\tamil\taf_04125_02097763913.wav,taf_04125_02097763913.wav,tamil,3.392,16000,openslr
data\processed\kannada\knf_05820_01644003205.wav,knf_05820_01644003205.wav,kannada,6.72,16000,openslr
data\processed\hindi\0199_061.wav,0199_061.wav,hindi,4.176,16000,openslr
data\processed\kannada\knf_07598_00895015530.wav,knf_07598_00895015530.wav,kannada,6.08,16000,openslr
data\processed\kannada\knf_00254_00075583083.wav,knf_00254_00075583083.wav,kannada,6.272,16000,openslr
data\processed\tamil\taf_03822_01014429129.wav,taf_03822_01014429129.wav,tamil,4.576,16000,openslr
data\processed\tamil\taf_00008_01551958093.wav,taf_00008_01551958093.wav,tamil,3.104,16000,openslr
data\processed\malayalam\mlf_09852_02002180332.wav,mlf_09852_02002180332.wav,malayalam,3.872,16000,openslr
data\processed\english\m0003_us_m0003_00269.wav,m0003_us_m0003_00269.wav,english,5.728,16000,openslr
data\processed\kannada\knf_03755_01991596977.wav,knf_03755_01991596977.wav,kannada,7.168,16000,openslr
data\processed\tamil\taf_04125_01292196357.wav,taf_04125_01292196357.wav,tamil,6.976,16000,openslr
data\processed\kannada\knf_01779_00722821762.wav,knf_01779_00722821762.wav,kannada,3.84,16000,openslr
data\processed\hindi\0136_087.wav,0136_087.wav,hindi,3.924,16000,openslr
data\processed\hindi\0199_069.wav,0199_069.wav,hindi,4.608,16000,openslr
data\processed\hindi\0116_088.wav,0116_088.wav,hindi,7.488,16000,openslr
data\processed\kannada\knf_03271_00090194723.wav,knf_03271_00090194723.wav,kannada,3.424,16000,openslr
data\processed\hindi\0260_086.wav,0260_086.wav,hindi,4.576,16000,openslr
data\processed\hindi\0298_008.wav,0298_008.wav,hindi,5.864,16000,openslr
data\processed\kannada\knf_03271_01629528503.wav,knf_03271_01629528503.wav,kannada,5.184,16000,openslr
data\processed\malayalam\mlf_01130_00620275339.wav,mlf_01130_00620275339.wav,malayalam,3.392,16000,openslr
data\processed\english\m0001_us_m0001_00101.wav,m0001_us_m0001_00101.wav,english,4.16,16000,openslr
data\processed\english\f0004_us_f0004_00029.wav,f0004_us_f0004_00029.wav,english,3.264,16000,openslr
data\processed\kannada\knf_01493_01949098428.wav,knf_01493_01949098428.wav,kannada,6.048,16000,openslr
data\processed\malayalam\mlf_06469_00293729387.wav,mlf_06469_00293729387.wav,malayalam,6.336,16000,openslr
data\processed\english\f0005_us_f0005_00213.wav,f0005_us_f0005_00213.wav,english,3.776,16000,openslr
data\processed\hindi\0139_036.wav,0139_036.wav,hindi,5.792,16000,openslr
data\processed\malayalam\mlf_07754_00577351875.wav,mlf_07754_00577351875.wav,malayalam,4.128,16000,openslr
data\processed\tamil\taf_04696_00944048452.wav,taf_04696_00944048452.wav,tamil,4.224,16000,openslr
data\processed\malayalam\mlf_02484_00465870219.wav,mlf_02484_00465870219.wav,malayalam,6.304,16000,openslr
data\processed\english\m0003_us_m0003_00071.wav,m0003_us_m0003_00071.wav,english,3.552,16000,openslr
data\processed\tamil\taf_03219_00722151744.wav,taf_03219_00722151744.wav,tamil,6.261,16000,openslr
data\processed\kannada\knf_07598_00253012742.wav,knf_07598_00253012742.wav,kannada,4.864,16000,openslr
data\processed\english\m0003_us_m0003_00057.wav,m0003_us_m0003_00057.wav,english,5.024,16000,openslr
data\processed\hindi\0290_098.wav,0290_098.wav,hindi,4.748,16000,openslr
data\processed\english\m0001_us_m0001_00095.wav,m0001_us_m0001_00095.wav,english,3.104,16000,openslr
data\processed\hindi\0308_036.wav,0308_036.wav,hindi,4.768,16000,openslr
data\processed\hindi\0244_025.wav,0244_025.wav,hindi,7.04,16000,openslr
data\processed\malayalam\mlf_01130_00950025775.wav,mlf_01130_00950025775.wav,malayalam,3.872,16000,openslr
data\processed\tamil\taf_04696_02108414898.wav,taf_04696_02108414898.wav,tamil,5.12,16000,openslr
data\processed\english\m0003_us_m0003_00026.wav,m0003_us_m0003_00026.wav,english,3.52,16000,openslr
data\processed\english\f0001_us_f0001_00163.wav,f0001_us_f0001_00163.wav,english,3.424,16000,openslr
data\processed\kannada\knf_01779_02020943682.wav,knf_01779_02020943682.wav,kannada,3.52,16000,openslr
data\processed\english\f0004_us_f0004_00194.wav,f0004_us_f0004_00194.wav,english,3.04,16000,openslr
data\processed\malayalam\mlf_08428_01752788626.wav,mlf_08428_01752788626.wav,malayalam,4.992,16000,openslr
data\processed\tamil\taf_04696_00510546757.wav,taf_04696_00510546757.wav,tamil,5.6,16000,openslr
data\processed\hindi\0136_098.wav,0136_098.wav,hindi,4.468,16000,openslr
data\processed\malayalam\mlf_07754_01890815853.wav,mlf_07754_01890815853.wav,malayalam,3.232,16000,openslr
data\processed\hindi\0281_089.wav,0281_089.wav,hindi,6.572,16000,openslr
data\processed\english\f0004_us_f0004_00166.wav,f0004_us_f0004_00166.wav,english,3.968,16000,openslr
data\processed\english\f0001_us_f0001_00019.wav,f0001_us_f0001_00019.wav,english,3.52,16000,openslr
data\processed\tamil\taf_03219_00849023095.wav,taf_03219_00849023095.wav,tamil,6.56,16000,openslr
data\processed\hindi\0215_089.wav,0215_089.wav,hindi,4.176,16000,openslr
data\processed\tamil\taf_02027_00367950442.wav,taf_02027_00367950442.wav,tamil,5.024,16000,openslr
data\processed\malayalam\mlf_05401_00667321256.wav,mlf_05401_00667321256.wav,malayalam,5.632,16000,openslr
data\processed\english\m0004_us_m0004_00056.wav,m0004_us_m0004_00056.wav,english,3.312,16000,openslr
data\processed\english\m0001_us_m0001_00323.wav,m0001_us_m0001_00323.wav,english,3.776,16000,openslr
data\processed\tamil\taf_02027_02074000430.wav,taf_02027_02074000430.wav,tamil,4.288,16000,openslr
data\processed\malayalam\mlf_06469_01377084024.wav,mlf_06469_01377084024.wav,malayalam,3.04,16000,openslr
data\processed\english\m0002_us_m0002_00085.wav,m0002_us_m0002_00085.wav,english,4.128,16000,openslr
data\processed\hindi\0161_069.wav,0161_069.wav,hindi,5.536,16000,openslr
data\processed\kannada\knf_03271_01538115238.wav,knf_03271_01538115238.wav,kannada,5.12,16000,openslr
data\processed\tamil\taf_07367_00250696911.wav,taf_07367_00250696911.wav,tamil,5.728,16000,openslr
data\processed\malayalam\mlf_09845_00009184194.wav,mlf_09845_00009184194.wav,malayalam,5.984,16000,openslr
data\processed\english\f0004_us_f0004_00093.wav,f0004_us_f0004_00093.wav,english,3.2,16000,openslr
data\processed\kannada\knf_07345_01403554753.wav,knf_07345_01403554753.wav,kannada,7.232,16000,openslr
data\processed\kannada\knf_00254_01292146462.wav,knf_00254_01292146462.wav,kannada,3.968,16000,openslr
data\processed\english\m0001_us_m0001_00291.wav,m0001_us_m0001_00291.wav,english,4.896,16000,openslr
data\processed\hindi\0234_036.wav,0234_036.wav,hindi,4.192,16000,openslr
data\processed\kannada\knf_07901_00421329644.wav,knf_07901_00421329644.wav,kannada,8.0,16000,openslr
data\processed\tamil\taf_05572_01791234331.wav,taf_05572_01791234331.wav,tamil,6.112,16000,openslr
data\processed\english\m0004_us_m0004_00052.wav,m0004_us_m0004_00052.wav,english,3.552,16000,openslr
data\processed\malayalam\mlf_04720_00471453438.wav,mlf_04720_00471453438.wav,malayalam,4.8,16000,openslr
data\processed\hindi\0156_086.wav,0156_086.wav,hindi,3.648,16000,openslr
data\processed\kannada\knf_03844_01090522679.wav,knf_03844_01090522679.wav,kannada,6.464,16000,openslr
data\processed\kannada\knf_03467_00882542266.wav,knf_03467_00882542266.wav,kannada,3.776,16000,openslr
data\processed\english\m0002_us_m0002_00347.wav,m0002_us_m0002_00347.wav,english,3.104,16000,openslr
data\processed\tamil\taf_02330_00472124519.wav,taf_02330_00472124519.wav,tamil,5.92,16000,openslr
data\processed\hindi\0161_086.wav,0161_086.wav,hindi,6.048,16000,openslr
data\processed\english\m0001_us_m0001_00025.wav,m0001_us_m0001_00025.wav,english,4.512,16000,openslr
data\processed\kannada\knf_03271_01280046274.wav,knf_03271_01280046274.wav,kannada,3.84,16000,openslr
data\processed\english\m0003_us_m0003_00029.wav,m0003_us_m0003_00029.wav,english,3.008,16000,openslr
data\processed\hindi\0167_098.wav,0167_098.wav,hindi,4.188,16000,openslr
data\processed\english\m0002_us_m0002_00231.wav,m0002_us_m0002_00231.wav,english,3.104,16000,openslr
data\processed\malayalam\mlf_02321_01209077598.wav,mlf_02321_01209077598.wav,malayalam,4.384,16000,openslr
data\processed\malayalam\mlf_03132_00909252255.wav,mlf_03132_00909252255.wav,malayalam,6.688,16000,openslr
data\processed\kannada\knf_02049_01100022288.wav,knf_02049_01100022288.wav,kannada,7.552,16000,openslr
data\processed\tamil\taf_01484_00064157101.wav,taf_01484_00064157101.wav,tamil,5.024,16000,openslr
data\processed\tamil\taf_08213_02088853550.wav,taf_08213_02088853550.wav,tamil,3.008,16000,openslr
data\processed\tamil\taf_02345_00924912488.wav,taf_02345_00924912488.wav,tamil,3.904,16000,openslr
data\processed\tamil\taf_05572_01404637802.wav,taf_05572_01404637802.wav,tamil,6.336,16000,openslr
data\processed\english\f0001_us_f0001_00044.wav,f0001_us_f0001_00044.wav,english,3.168,16000,openslr
data\processed\hindi\0298_089.wav,0298_089.wav,hindi,5.912,16000,openslr
data\processed\english\m0001_us_m0001_00319.wav,m0001_us_m0001_00319.wav,english,4.096,16000,openslr
data\processed\english\m0003_us_m0003_00334.wav,m0003_us_m0003_00334.wav,english,5.12,16000,openslr
data\processed\tamil\taf_07894_00151157114.wav,taf_07894_00151157114.wav,tamil,3.424,16000,openslr
data\processed\kannada\knf_06123_00368887094.wav,knf_06123_00368887094.wav,kannada,5.632,16000,openslr
data\processed\tamil\taf_03219_02123175696.wav,taf_03219_02123175696.wav,tamil,3.808,16000,openslr
data\processed\hindi\0244_088.wav,0244_088.wav,hindi,5.76,16000,openslr
data\processed\malayalam\mlf_02925_01414816391.wav,mlf_02925_01414816391.wav,malayalam,3.936,16000,openslr
data\processed\hindi\0281_088.wav,0281_088.wav,hindi,7.296,16000,openslr
data\processed\malayalam\mlf_06469_00710038894.wav,mlf_06469_00710038894.wav,malayalam,3.552,16000,openslr
data\processed\malayalam\mlf_03132_01998040407.wav,mlf_03132_01998040407.wav,malayalam,7.104,16000,openslr
data\processed\hindi\0308_025.wav,0308_025.wav,hindi,5.728,16000,openslr
data\processed\english\m0003_us_m0003_00001.wav,m0003_us_m0003_00001.wav,english,5.12,16000,openslr
data\processed\tamil\taf_07049_00097116080.wav,taf_07049_00097116080.wav,tamil,5.792,16000,openslr
data\processed\english\f0002_us_f0002_00037.wav,f0002_us_f0002_00037.wav,english,3.008,16000,openslr
data\processed\hindi\0201_061.wav,0201_061.wav,hindi,4.184,16000,openslr
data\processed\hindi\0169_036.wav,0169_036.wav,hindi,7.32,16000,openslr
data\processed\hindi\0252_089.wav,0252_089.wav,hindi,3.468,16000,openslr
data\processed\hindi\0305_008.wav,0305_008.wav,hindi,6.016,16000,openslr
data\processed\english\m0001_us_m0001_00149.wav,m0001_us_m0001_00149.wav,english,3.264,16000,openslr
data\processed\tamil\taf_02916_01319318661.wav,taf_02916_01319318661.wav,tamil,5.792,16000,openslr
data\processed\kannada\knf_01493_00147486948.wav,knf_01493_00147486948.wav,kannada,7.072,16000,openslr
data\processed\kannada\knf_01493_00947041431.wav,knf_01493_00947041431.wav,kannada,6.592,16000,openslr
data\processed\english\m0002_us_m0002_00099.wav,m0002_us_m0002_00099.wav,english,3.264,16000,openslr
data\processed\hindi\0215_087.wav,0215_087.wav,hindi,3.776,16000,openslr
data\processed\english\m0003_us_m0003_00042.wav,m0003_us_m0003_00042.wav,english,3.328,16000,openslr
data\processed\tamil\taf_00008_01644454216.wav,taf_00008_01644454216.wav,tamil,6.528,16000,openslr
data\processed\tamil\taf_03822_01459078911.wav,taf_03822_01459078911.wav,tamil,4.032,16000,openslr
data\processed\english\m0001_us_m0001_00107.wav,m0001_us_m0001_00107.wav,english,4.608,16000,openslr
data\processed\hindi\0267_008.wav,0267_008.wav,hindi,5.6,16000,openslr
data\processed\malayalam\mlf_02321_02005901486.wav,mlf_02321_02005901486.wav,malayalam,3.84,16000,openslr
data\processed\tamil\taf_04696_00030269342.wav,taf_04696_00030269342.wav,tamil,3.083,16000,openslr
data\processed\english\f0005_us_f0005_00225.wav,f0005_us_f0005_00225.wav,english,4.544,16000,openslr
data\processed\malayalam\mlf_06469_00402715602.wav,mlf_06469_00402715602.wav,malayalam,3.616,16000,openslr
data\processed\hindi\0227_088.wav,0227_088.wav,hindi,5.696,16000,openslr
data\processed\tamil\taf_09705_01900382415.wav,taf_09705_01900382415.wav,tamil,4.128,16000,openslr
data\processed\tamil\taf_07894_02014971321.wav,taf_07894_02014971321.wav,tamil,4.448,16000,openslr
data\processed\malayalam\mlf_02321_00362283277.wav,mlf_02321_00362283277.wav,malayalam,3.36,16000,openslr
data\processed\malayalam\mlf_05394_00409484949.wav,mlf_05394_00409484949.wav,malayalam,6.816,16000,openslr
data\processed\english\m0004_us_m0004_00058.wav,m0004_us_m0004_00058.wav,english,4.376,16000,openslr
data\processed\tamil\taf_02330_00539368013.wav,taf_02330_00539368013.wav,tamil,3.008,16000,openslr
data\processed\tamil\taf_03822_02105992601.wav,taf_03822_02105992601.wav,tamil,3.232,16000,openslr
data\processed\hindi\0227_008.wav,0227_008.wav,hindi,6.272,16000,openslr
data\processed\malayalam\mlf_03228_01301819852.wav,mlf_03228_01301819852.wav,malayalam,3.104,16000,openslr
data\processed\malayalam\mlf_09845_01369660314.wav,mlf_09845_01369660314.wav,malayalam,3.232,16000,openslr
data\processed\kannada\knf_00557_00013276999.wav,knf_00557_00013276999.wav,kannada,5.696,16000,openslr
data\processed\english\f0001_us_f0001_00274.wav,f0001_us_f0001_00274.wav,english,3.296,16000,openslr
data\processed\tamil\taf_06478_01941131163.wav,taf_06478_01941131163.wav,tamil,3.168,16000,openslr
data\processed\english\m0003_us_m0003_00230.wav,m0003_us_m0003_00230.wav,english,4.192,16000,openslr
data\processed\tamil\taf_02916_01247887039.wav,taf_02916_01247887039.wav,tamil,7.136,16000,openslr
data\processed\kannada\knf_05550_00360615092.wav,knf_05550_00360615092.wav,kannada,5.056,16000,openslr
data\processed\kannada\knf_03467_00666952353.wav,knf_03467_00666952353.wav,kannada,5.6,16000,openslr
data\processed\kannada\knf_05550_01684352876.wav,knf_05550_01684352876.wav,kannada,3.968,16000,openslr
data\processed\hindi\0160_061.wav,0160_061.wav,hindi,4.64,16000,openslr
data\processed\kannada\knf_01493_02070249990.wav,knf_01493_02070249990.wav,kannada,4.224,16000,openslr
data\processed\hindi\0281_036.wav,0281_036.wav,hindi,5.988,16000,openslr
data\processed\hindi\0298_003.wav,0298_003.wav,hindi,4.672,16000,openslr
data\processed\malayalam\mlf_03435_00093041914.wav,mlf_03435_00093041914.wav,malayalam,5.664,16000,openslr
data\processed\tamil\taf_02330_01888845653.wav,taf_02330_01888845653.wav,tamil,4.608,16000,openslr
data\processed\malayalam\mlf_06262_00232278812.wav,mlf_06262_00232278812.wav,malayalam,4.992,16000,openslr
data\processed\kannada\knf_09696_01518031209.wav,knf_09696_01518031209.wav,kannada,4.992,16000,openslr
data\processed\malayalam\mlf_06469_01827043415.wav,mlf_06469_01827043415.wav,malayalam,3.104,16000,openslr
data\processed\kannada\knf_07901_00448330740.wav,knf_07901_00448330740.wav,kannada,6.944,16000,openslr
data\processed\english\m0001_us_m0001_00202.wav,m0001_us_m0001_00202.wav,english,4.096,16000,openslr
data\processed\malayalam\mlf_03132_01443837923.wav,mlf_03132_01443837923.wav,malayalam,6.176,16000,openslr
data\processed\kannada\knf_02049_01659718856.wav,knf_02049_01659718856.wav,kannada,8.725,16000,openslr
data\processed\hindi\0260_008.wav,0260_008.wav,hindi,5.408,16000,openslr
data\processed\english\m0003_us_m0003_00010.wav,m0003_us_m0003_00010.wav,english,4.256,16000,openslr
data\processed\tamil\taf_06958_01534774601.wav,taf_06958_01534774601.wav,tamil,4.96,16000,openslr
data\processed\kannada\knf_01493_01581094561.wav,knf_01493_01581094561.wav,kannada,3.328,16000,openslr
data\processed\hindi\0167_087.wav,0167_087.wav,hindi,3.04,16000,openslr
data\processed\english\m0002_us_m0002_00333.wav,m0002_us_m0002_00333.wav,english,5.024,16000,openslr
